127.0.0.1 - - [19/Mar/2023:01:34:36 +0100] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:36 +0100] "GET /test/login HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:36 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:37 +0100] "GET /favicon.ico HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:46 +0100] "GET /login.css HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:50 +0100] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:50 +0100] "GET /test/contactsServlet HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:51 +0100] "GET /test/css/style.css HTTP/1.1" 404 707
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:51 +0100] "GET /test/javascript/users.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:51 +0100] "GET /test/imageProfileServlet HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:57 +0100] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:57 +0100] "GET /test/contactsServlet HTTP/1.1" 200 9263
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:57 +0100] "GET /test/css/style.css HTTP/1.1" 404 707
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:57 +0100] "GET /test/javascript/users.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:59 +0100] "GET /test/chat?withClientId=mohamedfatehialhabib@gmail.com HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:34:59 +0100] "GET /test/chatroom/simosins78@gmail.com HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:35:01 +0100] "GET /test/chat?withClientId=simosins78@gmail.com HTTP/1.1" 200 16483
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:35:01 +0100] "GET /test/chatroom/simosins78@gmail.com HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:36:10 +0100] "GET /test/ContactsServlet HTTP/1.1" 404 705
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:36:12 +0100] "GET /test/chatroom/simosins78@gmail.com HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:36:39 +0100] "GET /test/chat?withClientId=mohamedfatehialhabib@gmail.com HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:36:39 +0100] "GET /test/chatroom/simosins78@gmail.com HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:36:49 +0100] "GET /test/login HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:36:52 +0100] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:36:52 +0100] "GET /test/contactsServlet HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:36:52 +0100] "GET /test/css/style.css HTTP/1.1" 404 707
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:36:52 +0100] "GET /test/javascript/users.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:36:55 +0100] "GET /test/chat?withClientId=simosins78@gmail.com HTTP/1.1" 200 16493
0:0:0:0:0:0:0:1 - - [19/Mar/2023:01:36:55 +0100] "GET /test/chatroom/mohamedfatehialhabib@gmail.com HTTP/1.1" 101 -
